City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,46.87,88,96,5.86,CL,1709170108
1,saipan,15.1355,145.701,84.9,54,0,19.57,MP,1709170109
2,invercargill,-46.4,168.35,67.01,72,39,3.0,NZ,1709169811
3,port-aux-francais,-49.35,70.2167,48.04,97,100,31.72,TF,1709170109
4,nelson bay,-32.7167,152.15,94.08,69,19,8.01,AU,1709170109
5,mareeba,-17.0,145.4333,83.44,81,100,5.35,AU,1709170110
6,anadyr,64.75,177.4833,-7.01,69,0,11.18,RU,1709170110
7,utrik,11.2278,169.8474,79.7,75,100,16.42,MH,1709170110
8,thohoyandou,-22.9456,30.485,58.93,78,55,4.34,ZA,1709170111
9,longyearbyen,78.2186,15.6401,37.24,75,40,13.8,SJ,1709170111
10,bilibino,68.0546,166.4372,-6.59,87,7,2.75,RU,1709170111
11,callao,-12.0667,-77.15,80.73,73,40,14.97,PE,1709169839
12,jinchang,38.4953,102.1739,18.57,90,100,1.81,CN,1709170111
13,port mathurin,-19.6833,63.4167,77.81,70,100,8.59,MU,1709170112
14,blackmans bay,-43.0167,147.3167,71.73,76,100,9.13,AU,1709170112
15,college,64.8569,-147.8028,-0.8,53,20,1.01,US,1709170112
16,carolina beach,34.0352,-77.8936,67.06,83,81,1.99,US,1709170112
17,mont-dore,-22.2833,166.5833,87.78,67,85,11.5,NC,1709170113
18,codrington,-38.2667,141.9667,70.56,54,100,10.09,AU,1709170113
19,ribeira brava,32.65,-17.0667,63.23,74,48,8.5,PT,1709170113
20,madalena,41.2162,-8.3345,48.78,95,100,0.81,PT,1709170113
21,grytviken,-54.2811,-36.5092,41.05,87,16,10.85,GS,1709170115
22,bungu,-7.6337,39.0582,74.19,98,100,2.46,TZ,1709170115
23,waitangi,-43.9535,-176.5597,58.82,91,23,7.0,NZ,1709170115
24,susuman,62.7833,148.1667,-27.02,97,74,1.01,RU,1709170115
25,petropavlovsk-kamchatsky,53.0452,158.6483,21.79,78,100,15.66,RU,1709170116
26,qaqortoq,60.7167,-46.0333,7.45,74,9,20.87,GL,1709170116
27,cidreira,-30.1811,-50.2056,75.92,89,100,9.64,BR,1709170116
28,west island,-12.1568,96.8225,84.18,79,73,8.05,CC,1709170116
29,chonchi,-42.6128,-73.8092,56.41,93,22,2.8,CL,1709170117
30,edinburgh of the seven seas,-37.0676,-12.3116,61.54,78,100,23.49,SH,1709169923
31,baardheere,2.3446,42.2764,79.47,70,5,8.21,SO,1709170118
32,yellowknife,62.456,-114.3525,-3.59,79,75,15.01,CA,1709170118
33,adamstown,-25.066,-130.1015,79.95,69,100,0.92,PN,1709169950
34,klyuchi,52.2667,79.1667,10.11,95,28,10.78,RU,1709170119
35,joroinen,62.1782,27.8317,30.97,87,100,5.37,FI,1709170119
36,barcelos,41.5388,-8.6151,50.14,95,100,3.85,PT,1709170119
37,bonga,7.2833,36.2333,59.88,94,35,1.63,ET,1709170120
